"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","A02","A02[other]","A022","A022[other]","A01","A03","A04","A08","A08[other]","A05","A05[other]","A06","A06[other]","A07","A07[other]","A09","A09[other]","B01","B02","B03","B04","B05","B06","B07","B08","C01","D01[SQ001]","D01[SQ002]","D01[SQ003]","D01[SQ004]","D01[SQ005]","D01[SQ006]","D01[SQ007]","D01[SQ008]","D01[SQ009]","D01[SQ010]","D01[SQ011]","D01[SQ012]","D01[SQ013]","D01[SQ014]","D01[SQ015]","D01[SQ016]","D01[SQ017]","D01[SQ018]","D01[SQ019]","D01[SQ020]","D01[SQ021]","D01[SQ022]","D01[SQ023]","E01[SQ001]","E01[SQ002]","E01[SQ003]","E01[SQ004]","E01[SQ005]","E01[SQ006]","E01[SQ007]","E01[SQ008]","E01[SQ009]","E01[SQ010]","E01[SQ011]","E01[SQ012]","E01[SQ013]","E01[SQ014]","F01","F02","F03","F04[SQ001]","F04[SQ002]","F04[SQ003]","F04[SQ004]","F04[SQ005]","F04[SQ006]","F04[SQ007]","F04[SQ008]","F04[SQ009]","F04[SQ011]","F04[other]","G01[SQ001]","G01[SQ002]","G01[SQ003]","G01[SQ004]","G01[SQ005]","G01[SQ006]","G01[SQ007]","G01[SQ008]","G01[SQ009]","G01[SQ010]","G01[SQ011]","H01[SQ001]","H01[SQ002]","H01[SQ003]","H01[SQ004]","H01[SQ005]","H01[SQ006]","H01[SQ007]","H01[SQ008]","H01[SQ009]","H01[SQ010]","H01[SQ011]","H01[SQ012]","H01[SQ013]","H01[SQ014]","H01[SQ015]","H01[SQ016]","H01[SQ017]","H01[SQ018]","H01[SQ019]","H01[SQ020]","H01[SQ021]","H01[SQ022]","H01[SQ023]","I01[SQ001]","I01[SQ002]","I01[SQ003]","I01[SQ004]","I01[SQ005]","I01[SQ006]","I01[SQ007]","I01[SQ008]","II01[SQ001]","II01[SQ002]","II01[SQ003]","II01[SQ004]","II01[SQ005]","II01[SQ006]","II01[SQ007]","II01[SQ008]","II01[SQ009]","II01[SQ010]","II01[SQ011]","II01[SQ012]","J01[SQ001]","J01[SQ002]","J01[SQ003]","J01[SQ004]","J01[SQ005]","J01[SQ006]","J01[SQ007]","K01[SQ001]","K01[SQ002]","K01[SQ003]","K01[SQ004]","K01[SQ005]","K01[SQ006]","K01[SQ007]","K01[SQ008]","K01[SQ009]","K01[SQ010]","K01[SQ011]","K01[SQ012]","K01[SQ013]","K01[SQ014]","K01[SQ015]","K01[SQ016]","K01[SQ017]","K01[SQ018]","K01[SQ019]","K01[SQ020]","K01[SQ021]","L01[SQ001]","L01[SQ002]","L01[SQ003]","L01[SQ004]","L01[SQ005]","L01[SQ006]","L01[SQ007]","L02[SQ001]","L02[SQ002]","L02[SQ003]","L02[SQ004]","L02[SQ005]","L02[SQ006]","L02[SQ007]","L02[SQ008]","L03[SQ001]","L03[SQ002]","L03[SQ003]","L03[SQ004]","L03[SQ005]","L03[SQ006]","L03[SQ007]","L03[SQ008]","L04[SQ001]","L04[SQ002]","L04[SQ003]","L04[SQ004]","L04[SQ005]","L04[SQ006]","L04[SQ007]","L04[SQ008]","L04[SQ009]","L04[SQ010]","M01","M02","M03","M03[other]","M04","M05","M05[other]","M06","M07","M07[other]","M08","LL01[SQ001]","LL01[SQ002]","LL02[SQ001]","LL02[SQ002]","LL03[SQ001]","LL03[SQ002]","LL04[SQ001]","LL04[SQ002]","LL05[SQ001]","LL05[SQ002]","LL06[SQ001]","LL06[SQ002]","LL07[SQ001]","LL07[SQ002]","LL08[SQ001]","LL08[SQ002]","LL09[SQ001]","LL09[SQ002]","LL10[SQ001]","LL10[SQ002]","N01","N01[other]","N02","N02[other]","N03","N032","N033","N034","N034[other]","N04","N08","N05","N06","N07","interviewtime","groupTime5405","A02Time","A022Time","A01Time","A03Time","A04Time","A08Time","A05Time","A06Time","A07Time","A09Time","groupTime5406","B01Time","B02Time","B03Time","B04Time","B05Time","B06Time","B07Time","B08Time","groupTime5407","C01Time","groupTime5408","D01Time","groupTime5409","E01Time","groupTime5418","F01Time","F02Time","F03Time","F04Time","G01Time","groupTime5411","H01Time","groupTime5412","I01Time","groupTime5419","II01Time","groupTime5413","J01Time","groupTime5414","K01Time","groupTime5415","L01Time","L02Time","L03Time","L04Time","groupTime5416","M01Time","M02Time","M03Time","M04Time","M05Time","M06Time","M07Time","M08Time","groupTime5649","LL01Time","LL02Time","LL03Time","LL04Time","LL05Time","LL06Time","LL07Time","LL08Time","LL09Time","LL10Time","groupTime5417","N01Time","N02Time","N03Time","N032Time","N033Time","N034Time","N04Time","N08Time","N05Time","N06Time","N07Time"
"827","2021-06-22 16:48:39","15","fr","2033357317","2021-06-22 16:24:34","2021-06-22 16:48:39","A1","","A1","","1999-11-01 00:00:00","155","59","A4","","A2","","","","A3","","A5","","A4","A4","A10","A5","A1","A4","","","A1","A4","A4","A10","A3","A5","A4","A5","A5","A1","A2","A3","A1","A2","A2","A3","A2","A2","A3","A1","A4","A2","A4","A3","A1","A3","A5","A5","A1","A3","A4","A2","A3","A1","A3","A1","A2","A4","A1","A4","A1","Y","","Y","","Y","Y","","Y","Y","","","A5","A5","A5","A5","A1","A1","A3","A5","A3","A3","A1","A1","A1","A1","A5","A4","A2","A5","A2","A5","A2","A1","A1","A3","A1","A2","A2","A3","A3","A1","A4","A3","A2","A1","A4","A5","A4","A1","A3","A4","A3","","A1","A1","A4","A2","A1","A1","A3","A3","A2","A5","A3","A3","A4","A2","A3","A5","A2","A3","A4","A2","A3","A2","A4","A4","A4","A4","A3","A5","A1","A2","A2","A3","A3","A2","A2","A2","A2","A3","A3","A3","A4","A5","A4","A1","A4","A1","A3","A1","A5","A4","A1","A5","A5","A2","A4","A1","A4","A1","A2","A3","A1","A1","A2","A3","A3","A2","A5","A3","A2","A5","A1","A4","A4","A2","","","","","","","","","","","","A1","A1","","","A1","","A1","","A1","","","","A1","A2","A2","","A1","A1","","A1","","A1","","A3","N","4","A17","","A1","13","aleyna.cgl11@gmail.com","A1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"828","2021-06-22 17:31:49","15","fr","1879689371","2021-06-22 16:54:01","2021-06-22 17:31:49","A1","","A1","","2000-05-10 00:00:00","170","56","A2","","A2","","","","A3","","A2","","A4","A4","A4","A5","A1","A5","","","A2","A5","A4","A2","A5","A5","A5","A5","A5","A2","A5","A5","A2","A5","A5","A5","A5","A5","A5","A5","A5","A2","A4","A4","A5","A1","A2","A5","A4","A5","A2","A4","A4","A1","A5","A3","A4","A4","A2","","","","","","","","","","","","","","A2","A2","A2","A4","A2","A2","A4","A2","A1","A1","A1","A1","A2","A1","A4","A1","A1","A5","A2","A5","A2","A5","A4","A5","A3","A2","A2","A4","A4","A3","A3","A4","A3","A3","A1","A2","A2","A1","A5","A5","A1","","A1","A4","A4","A2","A1","A2","A5","A2","A2","A5","A1","A2","A4","A2","A4","A5","A4","A4","A4","A2","A4","A3","A4","A3","A2","A2","A5","A5","A2","A4","A4","A5","A5","A4","A4","A4","A4","A3","A4","A2","A1","A1","A2","A1","A2","A1","A3","A2","A5","A4","A1","A2","A5","A2","A4","A3","A4","A1","A2","A1","A4","A1","A2","A3","A5","A3","A5","A3","A2","A5","A1","A2","A2","A2","","","","","","","","","","","A1","","A1","","","A1","","A1","","A1","A1","","A1","","A1","","","A1","A1","","A1","","A2","","A4","N","17","A10","","A1","75008","Adelheid.vanderrose@hotmail.com","A1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"829","2021-06-22 17:29:13","15","fr","917906485","2021-06-22 17:07:34","2021-06-22 17:29:13","A2","","A2","","1999-07-26 00:00:00","185","85","A2","","A2","","","","A5","","A4","","A4","A4","A4","","","","A2","A4","A1","A4","A4","A10","A2","A5","A5","A5","A2","A2","A2","A3","A5","A4","A2","A5","A2","A5","A5","A3","A2","A1","A10","A2","A2","A2","A4","A4","A5","A3","A2","A1","A2","A2","A3","A4","A1","A1","A1","A4","A3","","Y","","","Y","","","Y","","","","A5","A1","A5","A5","A2","A2","A1","A2","A1","A4","A1","A2","A3","A1","A5","A5","A2","A4","A1","A5","A1","A3","A2","A4","A2","A2","A3","A4","A5","A5","A5","A5","A2","A1","A1","A5","A1","A1","A5","A3","A2","","A3","A3","A2","A2","A4","A4","A5","A4","A5","A5","A1","A5","A3","A2","A2","A4","A4","A4","A4","A2","A5","A2","A4","A4","A2","A4","A2","A3","A4","A3","A3","A5","A4","A1","A2","A1","A1","A1","A10","A3","A3","A1","A5","A2","A2","A2","A4","A2","A5","A5","A2","A5","A5","A5","A3","A1","A5","A1","A2","A1","A2","A1","A3","A4","A1","A4","A4","A1","A1","A3","A4","A2","A2","A1","A3","-oth-","Sciatiques","A8","A2","","A5","A1","","A4","","A1","A1","","","A1","","A1","","A1","","A1","","A1","A1","","","A1","A1","","A3","","A2","","A4","Y","","","","A1","83480","mel.gavens@icloud.com","A1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"830","","6","fr","447896319","2021-06-22 18:07:56","2021-06-22 18:24:59","A2","","A2","","2002-04-25 00:00:00","176","50","A6","","A2","","","","A2","","A1","","A4","A10","A2","","","","A2","A1","A1","","","","","","","","","","","","","","","","","","","","","","","","A5","A2","A1","A5","A5","A4","A1","A4","A2","A5","A3","A5","A2","A4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A3","A5","A4","A2","A2","A1","A3","","","","","","","","","","","","","","","","","","","","","A1","A5","A2","A3","A1","A2","A4","A5","A5","A2","A5","A5","A4","A5","A4","A4","A4","A3","A3","A4","A4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"831","","7","fr","496645535","2021-06-22 22:12:00","2021-06-22 23:16:52","A2","","A2","","2001-02-28 00:00:00","165","61","A2","","A3","","","","","","-oth-","","A4","A4","A3","","","","A4","A3","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A2","A4","A4","A1","A1","A4","A2","A3","A2","A4","A2","A4","A1","A10","A4","A3","A2","A1","A1","A2","A2","A3","A3","","","","","","","","","A1","A1","A4","A3","A1","A1","A4","A5","A1","A4","A4","A1","","","","","","","","A4","A5","A2","A5","A4","A4","A4","A2","A2","A4","A4","A5","A4","A4","A2","A2","A1","A3","A4","A3","A3","A2","A1","A4","A2","A1","A5","A3","A1","A5","A3","A2","A1","A2","A5","A5","A1","A5","A1","A4","A1","A3","A1","A3","A3","A5","A4","A3","A5","A3","A4","A1","A5","A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"832","","0","fr","989990081","2021-06-22 23:37:57","2021-06-22 23:37:57","","","","","2000-01-01 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"833","2021-06-23 00:12:43","15","fr","856806883","2021-06-22 23:43:29","2021-06-23 00:12:43","A1","","A1","","2000-02-29 00:00:00","163","54","A2","","A2","","","","A3","","A5","","A4","A4","A1","A5","A1","A4","","","A1","A5","A5","A2","A3","A5","A4","A5","A2","A1","A2","A2","A4","A5","A4","A4","A2","A5","A3","A4","A3","A3","A2","A2","A5","A1","A1","A4","A3","A4","A1","A2","A1","A5","A2","A5","A3","A3","A1","A3","A3","Y","Y","","","","","","","","","","A5","A4","A4","A4","A1","A1","A2","A1","A2","A1","A1","A4","A4","A4","A3","A1","A4","A1","A4","A2","A4","A3","A4","A2","A4","A4","A4","A2","A3","A2","A4","A2","A4","A4","A2","A4","A4","A2","A3","A4","A2","","A1","A1","A1","A5","A1","A3","A4","A5","A4","A5","A2","A2","A4","A3","A4","A3","A3","A2","A2","A4","A4","A2","A3","A4","A4","A4","A4","A4","A3","A1","A5","A3","A2","A2","A3","A2","A1","A3","A3","A2","A4","A4","A5","A2","A2","A3","A4","A3","A4","A1","A3","A3","A3","A5","A4","A5","A5","A1","A4","A3","A4","A1","A2","A4","A5","A2","A4","A1","A3","A2","A5","A1","A2","A2","","","","","","","","","","","","A1","A2","","","A1","","A1","","A1","","A1","","A1","","A1","","A1","A1","","A1","","A7","","A3","Y","","","","A1","13005","m.girard246@gmail.com","A1","Bonjour,
Les réponses que j'ai donnés sont valables que pour cette année, à 21 ans. Pendant mon enfance/adolescence j'aurais répondu complètement différemment. Parfois dans les questions je ne savais pas sur quelle période de temps comprendre les ""parfois, souvent"" etc .. j'ai répondu en considérant que c'était par rapport à cette année et non par rapport à toute ma vie.
Merci en tout cas , bon courage pour votre étude et le reste !","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"834","","11","fr","316292696","2021-06-23 01:14:48","2021-06-23 01:35:31","A2","","A2","","1999-06-07 00:00:00","185","60","A6","","A3","","","","","","-oth-","Industrie","A4","A4","A4","","","","A4","A4","A3","A2","A1","A1","A4","A5","A4","A4","A5","A1","A3","A4","A5","A1","A4","A3","A4","A4","A2","A2","A3","A2","A5","A2","","","","","","","","","","","","","","","A1","A2","A2","","Y","","","Y","","","","Y","","","A4","A3","A4","A5","A1","A1","A1","A2","A1","A1","A2","A1","A4","A2","A3","A4","A1","A2","A2","A5","A1","A2","A4","A4","A3","A2","A2","A2","A3","A2","A5","A3","A2","A2","A2","A5","A4","A2","A4","A2","A5","","A4","A5","A5","A1","A5","A4","A4","A2","A5","A5","A2","A1","A2","A1","A1","A1","A2","A1","A1","A2","A5","A1","A1","A5","A5","A5","A1","A2","A5","A1","A2","A1","A1","A1","A1","A1","A1","A3","A1","A5","A4","A1","A5","A5","A3","A5","A5","A1","A2","A3","A1","A5","A5","A5","A3","A1","A5","A1","A5","A1","A4","A3","A5","A4","A1","A5","A2","A2","A1","A5","A5","A5","A5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"835","","0","fr","317415152","2021-09-03 18:11:39","2021-09-03 18:11:39","","","","","2000-01-01 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"836","2021-06-23 10:07:11","15","fr","2136576428","2021-06-23 09:46:07","2021-06-23 10:07:11","A2","","A2","","2003-05-13 00:00:00","190","70","A4","","A1","","A9","","","","","","A4","A3","A2","","","","A3","A4","A3","A4","A3","A3","A4","A5","A4","A5","A4","A2","A2","A3","A3","A5","A3","A2","A2","A4","A4","A3","A2","A3","A4","A2","A3","A2","A1","A4","A5","A3","A1","A3","A1","A4","A4","A3","A2","A2","A1","A3","A2","Y","","Y","","Y","Y","","","Y","","","A5","A4","A4","A3","A1","A1","A4","A3","A2","A4","A2","A2","A3","A3","A1","A2","A3","A3","A4","A2","A5","A1","A3","A2","A3","A3","A2","A1","A1","A1","A2","A3","A3","A2","A4","A4","A4","A3","A3","A3","A4","","A2","A1","A1","A3","A2","A3","A3","A5","A1","A4","A5","A1","A4","A2","A2","A4","A3","A2","A2","A5","A4","A3","A5","A4","A4","A4","A4","A3","A2","A2","A3","A5","A5","A4","A3","A2","A2","A4","A2","A4","A4","A1","A3","A1","A1","A3","A3","A5","A3","A3","A4","A2","A3","A5","A4","A3","A5","A1","A3","A1","A4","A1","A3","A3","A2","A3","A4","A1","A3","A2","A2","A3","A2","A2","","","","","","","","","","","","A1","A1","","A2","","","A2","","A2","","A2","","A2","A1","","","A1","A1","","A2","","-oth-","Ne le connaît pas","A4","Y","","","","A1","17200","ericphlpp@gmail.com","A1","Bon courage !
Vraiment intéressant à faire ~","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"837","2021-06-23 11:13:31","15","fr","592474558","2021-06-23 10:15:09","2021-06-23 11:13:31","A1","","A1","","1999-08-07 00:00:00","160","100","A2","","A2","","","","A3","","A5","","A4","A4","A4","A5","A1","A7","","","A1","A5","A5","A5","A5","A5","A2","A5","A5","A3","A5","A2","A4","A3","A3","A2","A4","A5","A5","A2","A5","A1","A4","A4","A5","A5","A1","A3","A4","A3","A1","A2","A5","A5","A5","A5","A5","A5","A1","A2","A1","Y","Y","Y","Y","Y","","","Y","Y","","","A5","A5","A5","A5","A5","A1","A5","A5","A1","A1","A1","A5","A4","A2","A5","A5","A2","A5","A1","A5","A1","A1","A3","A5","A5","A1","A1","A1","A2","A3","A5","A5","A1","A4","A1","A5","A5","A1","A5","A1","A5","","A5","A4","A5","A1","A1","A3","A1","A5","A5","A5","A1","A5","A3","A3","A2","A5","A5","A2","A5","A1","A4","A5","A5","A1","A1","A1","A1","A5","A3","A1","A2","A5","A5","A5","A2","A1","A3","A3","A5","A5","A2","A4","A5","A2","A1","A1","A5","A1","A4","A1","A1","A4","A5","A4","A5","A2","A3","A1","A3","A1","A1","A2","A4","A3","A2","A2","A4","A5","A3","A5","A1","A3","A4","A2","","","","","","","","","","","","A1","A1","","","A2","","A1","","A1","A1","","","A1","","A1","","A1","A1","","A1","","A1","","A3","Y","","","","A1","13127","elodie156@outlook.fr","A1","Parfois les questions sont un peu mal formule et donc on ne comprend pas trop le sens de la question. 
Mais aussi non ça va.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"838","","0","fr","148005347","2021-09-03 18:11:47","2021-09-03 18:11:47","","","","","2000-01-01 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"839","","8","fr","260884901","2021-06-23 12:49:39","2021-06-23 13:01:50","A1","","A1","","2001-03-05 00:00:00","161","60","A2","","A2","","","","A3","","A4","","A4","A4","A4","A5","A1","A4","","","A3","A3","A4","A2","A2","A4","A4","A4","A3","A1","A3","A4","A4","A4","A4","A5","A2","A4","A4","A2","A3","A2","A4","A2","A4","A2","A2","A4","A4","A4","A1","A4","A1","A4","A4","A4","A3","A4","","","","","","","","","","","","","","","","","","","","","","","","","","A3","A4","A2","A4","A1","A3","A3","A2","A5","A1","A1","A4","A3","A1","A2","A3","A2","A4","A3","A4","A3","A2","A1","","","","","","","","","A3","A4","A5","A2","A1","A1","A1","A5","A3","A5","A2","A4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A3","A1","A4","A1","A1","A1","A5","A3","A4","A2","A2","A3","A5","A3","A4","A1","A5","A1","A4","A1","A5","A1","A1","A3","A2","A5","A3","A1","A2","A2","A4","A2","A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"840","","0","fr","1647484878","2021-09-03 18:11:53","2021-09-03 18:11:53","","","","","2000-01-01 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"841","2021-06-24 14:25:12","15","fr","552357132","2021-06-24 13:08:19","2021-06-24 14:25:12","A1","","A1","","2003-06-07 00:00:00","164","49","A6","","-oth-","CNED niveau lycée","","","","","","","A4","A4","A4","A5","A1","A4","","","A1","A3","A5","A1","A1","A5","A4","A5","A5","A1","A1","A5","A5","A5","A3","A4","A4","A2","A5","A1","A5","A1","A3","A3","A3","A5","A5","A4","A3","A4","A4","A3","A1","A3","A5","A2","A2","A1","A1","A4","A1","Y","","Y","","Y","Y","Y","Y","Y","","","A5","A5","A5","A2","A2","A4","A5","A2","A5","A5","A5","A4","A4","A4","A2","A5","A4","A4","A5","A3","A4","A5","A5","A3","A2","A4","A4","A1","A1","A1","A1","A5","A5","A2","A1","A2","A5","A4","A4","A4","A5","","A4","A5","A5","A1","A1","A1","A1","A2","A1","A5","A2","A1","A5","A5","A5","A5","A5","A5","A5","A5","A5","A5","A5","A2","A3","A1","A4","A5","A3","A2","A5","A5","A5","A5","A5","A5","A4","A4","A5","A5","A5","A5","A1","A4","A4","A1","A5","A1","A5","A5","A1","A5","A5","A5","A5","A5","A5","A1","A5","A5","A4","A2","A5","A2","A4","A2","A5","A5","A4","A5","A2","A5","A2","A1","A3","A2","","A9","A5","","A7","A1","","A4","","A2","A1","","","A2","","A1","","A1","A2","","","A1","","A1","","A1","A1","","A4","","A2","","A4","Y","","","","A1","45","","A1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"842","2021-06-24 14:20:06","15","fr","988349607","2021-06-24 13:40:15","2021-06-24 14:20:06","A1","","-oth-","Non binaire","2004-03-13 00:00:00","158","75","A2","","A1","","A8","","","","","","A1","A4","A2","A4","A1","A6","","","A1","A4","A3","A5","A3","A4","A3","A5","A3","A2","A2","A2","A4","A4","A4","A4","A3","A4","A3","A2","A5","A2","A5","A3","A5","A1","A1","A4","A4","A5","A1","A3","A1","A4","A4","A4","A3","A3","A2","","","","","","","","","","","","","","A2","A2","A4","A4","A3","A4","A5","A4","A1","A1","A1","A3","A3","A3","A4","A1","A3","A3","A2","A4","A2","A4","A4","A3","A3","A3","A2","A3","A4","A4","A4","A3","A3","A3","A4","A5","A5","A4","A4","A4","A2","","A5","A4","A3","A4","A2","A4","A1","A5","A2","A5","A4","A4","A5","A4","A5","A4","A3","A4","A3","A5","A4","A5","A3","A4","A3","A4","A4","A3","A4","A5","A5","A5","A5","A5","A4","A4","A4","A3","A4","A4","A5","A3","A5","A4","A3","A2","A3","A1","A2","A3","A2","A4","A5","A5","A4","A5","A5","A1","A4","A1","A3","A2","A1","A5","A5","A4","A5","A4","A1","A4","A3","A1","A3","A1","A1","A5","","A6","","","","","","","","A1","A1","","A2","","","A1","","A1","A1","","A2","","A2","","","A2","A1","","A5","","A4","","A3","Y","","","","A2","","emma.bietry@gmail.com","A1","Très bien expliqué et ergonomique, donc agréable à remplir !
Une fonction qui pourrait être pratique pour les étourdis : le retour sur la page d’avant, sans effacer les réponses. (Peut-être fallait-il le faire avec son navigateur, mais je n’ai pas voulu prendre le risque de tout perdre.)
Bon courage pour la suite !","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"843","","8","fr","1379003728","2021-06-24 15:32:26","2021-06-24 15:41:57","A2","","A2","","2006-05-31 00:00:00","179","50","A2","","A1","","A6","","","","","","A3","A3","A2","","","","A2","A3","A1","A5","A5","A1","A2","A5","A4","A4","A1","A1","A2","A2","A4","A5","A4","A5","A3","A3","A5","A3","A11","A3","A5","A1","","","","","","","","","","","","","","","A1","A4","A1","","","","","Y","Y","","Y","Y","","Apprendre","A5","A3","A1","A4","A1","A1","A2","A2","A3","A4","A1","A3","A3","A4","A4","A1","A4","A3","A1","A4","A2","A1","A3","A2","A5","A4","A2","A1","A1","A1","A3","A2","A4","A3","A4","A5","A5","A5","A1","A4","A3","","","","","","","","","","","","","","A10","A2","A4","A5","A5","A3","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
